date,es-kp,es-cp
2021-10-08,"[3897.0, 3941.25, 3951.75, 3955.0, 3999.0, 4051.0, 4053.0, 4081.0, 4096.0, 4102.5, 4125.5, 4142.5, 4146.75, 4152.5, 4173.75, 4202.0, 4242.5, 4250.25, 4266.75, 4277.0, 4281.5, 4283.0, 4297.5, 4299.25, 4304.5, 4324.75, 4345.5, 4352.5, 4358.25, 4377.0, 4415.25, 4426.5, 4483.25, 4516.75, 4525.25, 4541.5, 4582.0, 4646.5, 4656.25, 4681.0, 4703.25, 4726.0, 4751.5, 4779.5, 4799.25, 4846.25, 4873.75, 4900.0, 4906.75]","[3873.0, 3889.25, 3892.5, 3936.0, 3994.25, 4010.25, 4021.75, 4023.5, 4109.0, 4113.0, 4211.75, 4213.75, 4220.0, 4228.5, 4231.5, 4233.0, 4285.0, 4291.5, 4321.0, 4330.75, 4338.0, 4362.0, 4385.25, 4389.5, 4410.75, 4436.25, 4512.0, 4520.0, 4533.25, 4535.75, 4539.25, 4571.5, 4594.5, 4661.25, 4671.25, 4690.0, 4718.75, 4731.5, 4790.75, 4833.25, 4839.0, 4870.75, 4909.0]"
2021-10-11,"[3941.5, 3951.75, 4002.0, 4016.0, 4048.0, 4051.25, 4054.25, 4079.25, 4095.25, 4100.5, 4116.5, 4127.5, 4141.75, 4151.5, 4197.0, 4206.5, 4217.0, 4228.25, 4248.0, 4276.0, 4282.25, 4295.25, 4302.5, 4305.0, 4325.5, 4351.0, 4354.25, 4365.0, 4375.75, 4378.25, 4396.25, 4427.5, 4525.25, 4541.0, 4544.5, 4546.75, 4577.75, 4600.25, 4653.5, 4664.75, 4676.25, 4696.25, 4724.75, 4757.0, 4826.25, 4849.5, 4855.25]","[3938.5, 3968.5, 4008.5, 4021.0, 4090.25, 4111.75, 4120.5, 4169.25, 4172.0, 4192.0, 4213.75, 4231.25, 4270.5, 4285.75, 4288.75, 4308.5, 4321.75, 4333.0, 4337.0, 4362.75, 4369.25, 4394.0, 4409.0, 4421.25, 4488.25, 4510.5, 4522.0, 4531.0, 4533.0, 4569.25, 4587.5, 4687.5, 4729.0, 4732.5, 4738.0, 4760.5, 4786.25, 4811.75, 4839.75]"
2021-10-12,"[3898.0, 3928.0, 3942.75, 3951.75, 4006.25, 4008.0, 4045.5, 4049.75, 4057.5, 4077.5, 4098.5, 4107.5, 4142.0, 4150.5, 4164.75, 4179.75, 4182.0, 4228.25, 4245.75, 4266.25, 4275.0, 4279.5, 4284.0, 4299.25, 4302.0, 4346.5, 4349.5, 4374.5, 4380.25, 4400.5, 4403.0, 4416.25, 4478.75, 4527.25, 4546.5, 4550.0, 4552.25, 4584.0, 4605.75, 4681.25, 4702.25, 4744.5, 4846.5]","[3936.0, 4010.0, 4018.5, 4071.5, 4094.5, 4110.75, 4131.0, 4136.75, 4191.5, 4213.5, 4231.25, 4290.0, 4292.0, 4312.5, 4328.5, 4330.0, 4362.0, 4367.5, 4371.5, 4384.5, 4429.75, 4493.5, 4509.0, 4530.5, 4532.75, 4536.75, 4593.0, 4660.75, 4667.75, 4673.25, 4693.25, 4713.75, 4731.25, 4739.25, 4761.75, 4769.25, 4787.75, 4793.0, 4824.25, 4861.75, 4864.0]"
2021-10-13,"[3882.5, 3914.75, 3917.0, 3942.0, 3951.75, 4004.25, 4007.5, 4016.0, 4043.0, 4048.0, 4052.75, 4076.5, 4084.0, 4096.75, 4098.5, 4101.25, 4149.5, 4153.25, 4167.0, 4228.25, 4243.75, 4247.5, 4274.0, 4276.75, 4296.75, 4301.5, 4303.5, 4328.0, 4348.25, 4354.75, 4364.75, 4366.5, 4396.25, 4404.0, 4498.5, 4507.5, 4542.5, 4551.75, 4555.25, 4557.5, 4598.5, 4681.75, 4699.5, 4749.5, 4751.0, 4766.25, 4778.25, 4783.0, 4799.75]","[3933.5, 4093.75, 4109.75, 4112.0, 4131.75, 4136.0, 4160.25, 4213.25, 4231.25, 4267.75, 4294.25, 4320.0, 4323.0, 4334.25, 4338.75, 4373.25, 4390.75, 4393.5, 4411.25, 4439.25, 4485.75, 4530.0, 4532.5, 4535.75, 4590.25, 4611.25, 4667.75, 4685.75, 4708.5, 4737.75, 4740.0, 4791.0, 4818.5]"
2021-10-14,"[3878.25, 3901.5, 3951.5, 3998.5, 4002.25, 4007.0, 4046.5, 4054.5, 4074.0, 4082.0, 4095.0, 4126.75, 4148.5, 4152.25, 4155.75, 4241.5, 4257.25, 4274.0, 4280.0, 4298.75, 4301.25, 4318.0, 4327.75, 4341.25, 4343.5, 4347.75, 4352.75, 4358.0, 4376.75, 4406.25, 4416.75, 4448.75, 4503.75, 4506.0, 4541.0, 4548.25, 4552.25, 4557.0, 4581.25, 4596.5, 4604.25, 4616.75, 4675.0, 4705.5, 4714.75, 4744.0, 4757.75, 4766.25, 4806.5]","[3891.25, 3919.5, 3930.75, 3963.25, 4013.5, 4034.0, 4040.5, 4089.5, 4093.0, 4108.5, 4140.5, 4213.25, 4228.75, 4231.25, 4259.25, 4263.5, 4294.25, 4311.5, 4331.0, 4338.75, 4372.0, 4386.5, 4390.0, 4414.25, 4423.5, 4532.25, 4537.75, 4560.5, 4563.0, 4631.5, 4690.5, 4760.0, 4787.25]"
2021-10-15,"[3928.0, 3951.5, 4000.25, 4006.5, 4015.25, 4044.75, 4052.0, 4080.5, 4100.0, 4107.5, 4115.0, 4147.5, 4151.25, 4228.25, 4243.0, 4247.75, 4253.25, 4300.0, 4303.0, 4305.75, 4343.25, 4345.5, 4352.5, 4379.5, 4381.25, 4383.5, 4401.0, 4443.0, 4458.25, 4466.5, 4504.5, 4540.75, 4543.0, 4546.25, 4554.0, 4566.0, 4602.75, 4627.0, 4682.25, 4699.0, 4750.5, 4796.25, 4849.5, 4866.0, 4880.5, 4907.75]","[3888.0, 3922.25, 3992.5, 4011.0, 4032.5, 4038.0, 4072.25, 4093.0, 4121.75, 4137.5, 4210.0, 4213.0, 4231.25, 4237.5, 4239.25, 4272.0, 4285.25, 4291.5, 4313.0, 4323.25, 4336.75, 4340.5, 4370.75, 4389.25, 4423.5, 4433.25, 4437.75, 4508.75, 4532.0, 4562.5, 4568.25, 4609.75, 4622.5, 4632.5, 4711.75, 4720.75, 4764.25, 4770.25, 4792.5, 4813.25, 4834.0, 4861.75, 4891.25]"
2021-10-18,"[3996.5, 3998.0, 4006.0, 4043.25, 4052.0, 4106.5, 4116.75, 4146.75, 4195.0, 4226.75, 4228.25, 4243.0, 4251.25, 4276.25, 4294.75, 4300.5, 4308.0, 4315.5, 4325.25, 4342.5, 4345.75, 4347.75, 4377.25, 4396.0, 4464.75, 4481.5, 4503.0, 4545.0, 4548.25, 4551.5, 4573.75, 4615.25, 4628.0, 4683.75, 4707.5, 4717.75, 4727.0, 4757.0, 4780.5, 4805.25, 4874.25, 4878.75, 4899.5, 4901.5]","[3986.75, 4008.5, 4010.5, 4022.0, 4035.5, 4071.5, 4073.5, 4089.5, 4091.5, 4122.5, 4191.5, 4212.75, 4231.25, 4237.25, 4268.5, 4271.0, 4289.0, 4310.5, 4333.5, 4363.75, 4369.5, 4372.5, 4386.0, 4430.5, 4462.5, 4467.75, 4470.5, 4514.0, 4531.75, 4559.75, 4567.75, 4571.25, 4609.0, 4631.5, 4689.25, 4770.75, 4818.75, 4820.0, 4839.0, 4872.5, 4911.25, 4914.5]"
2021-10-19,"[4041.5, 4047.0, 4105.25, 4107.5, 4142.25, 4145.5, 4152.5, 4225.75, 4228.25, 4254.5, 4265.75, 4267.0, 4279.25, 4299.0, 4303.0, 4307.75, 4315.0, 4326.25, 4342.75, 4350.0, 4352.25, 4354.75, 4365.5, 4375.0, 4425.5, 4475.5, 4477.5, 4482.0, 4501.5, 4549.5, 4553.5, 4556.75, 4565.5, 4576.5, 4579.0, 4615.25, 4696.5, 4716.0, 4777.5, 4826.75, 4845.0, 4879.0]","[4024.0, 4033.0, 4062.5, 4064.0, 4068.75, 4090.75, 4111.75, 4172.75, 4210.25, 4212.75, 4232.75, 4235.0, 4270.0, 4286.75, 4311.5, 4337.75, 4368.25, 4371.0, 4391.0, 4437.25, 4462.0, 4484.5, 4519.0, 4531.5, 4533.75, 4535.75, 4573.0, 4620.75, 4633.5, 4636.0, 4724.0, 4733.25, 4735.0, 4763.5, 4790.75, 4814.0, 4887.0]"
2021-10-20,"[4053.5, 4067.0, 4104.25, 4106.75, 4144.5, 4154.0, 4215.25, 4228.0, 4258.0, 4277.75, 4298.25, 4300.0, 4315.75, 4341.5, 4356.5, 4364.75, 4367.0, 4395.0, 4444.0, 4475.25, 4478.75, 4501.5, 4508.0, 4516.5, 4553.75, 4578.25, 4582.0, 4626.25, 4640.75, 4703.75, 4724.75, 4784.0, 4801.0, 4849.5, 4899.5, 4917.25, 4928.0]","[4039.75, 4087.5, 4090.0, 4092.75, 4110.0, 4137.75, 4194.0, 4212.5, 4222.5, 4232.75, 4263.0, 4269.0, 4284.5, 4319.5, 4330.75, 4358.5, 4386.25, 4421.5, 4459.25, 4486.75, 4510.0, 4514.5, 4524.25, 4531.25, 4558.75, 4562.0, 4571.25, 4584.5, 4587.5, 4590.0, 4621.5, 4730.0, 4739.5, 4769.75, 4786.25, 4823.0, 4833.5, 4871.25, 4885.5, 4922.5, 4937.25]"
2021-10-21,"[4143.5, 4177.5, 4204.75, 4228.0, 4248.75, 4282.0, 4284.0, 4297.5, 4351.5, 4365.75, 4380.75, 4397.5, 4399.75, 4417.5, 4451.0, 4456.5, 4482.75, 4496.25, 4498.5, 4515.5, 4541.0, 4553.75, 4558.0, 4577.0, 4583.75, 4627.5, 4641.25, 4645.25, 4745.5, 4776.25, 4854.75, 4897.5, 4926.25]","[4133.25, 4135.25, 4212.25, 4231.25, 4236.5, 4261.5, 4269.25, 4293.0, 4312.0, 4320.0, 4324.25, 4340.0, 4358.5, 4361.0, 4372.75, 4473.0, 4521.0, 4529.25, 4531.75, 4564.0, 4567.5, 4572.75, 4587.25, 4589.75, 4631.75, 4710.75, 4733.25, 4736.25, 4790.5, 4811.5, 4832.0, 4837.5, 4840.25, 4892.25, 4912.0]"
2021-10-22,"[4202.0, 4215.0, 4257.5, 4265.0, 4267.0, 4279.5, 4297.0, 4304.75, 4317.25, 4344.5, 4352.0, 4365.5, 4375.75, 4381.75, 4404.25, 4453.5, 4457.75, 4497.0, 4505.75, 4543.0, 4554.75, 4578.0, 4582.75, 4595.25, 4618.25, 4650.25, 4695.0, 4698.5, 4718.0, 4742.25, 4751.75, 4782.75, 4797.0, 4841.0, 4847.0, 4898.75]","[4161.25, 4194.25, 4212.0, 4228.5, 4231.25, 4239.75, 4260.75, 4270.25, 4284.5, 4288.0, 4324.5, 4328.75, 4338.5, 4372.5, 4408.75, 4413.5, 4470.75, 4487.0, 4514.5, 4531.25, 4534.25, 4540.5, 4562.5, 4569.25, 4572.75, 4589.0, 4593.0, 4633.75, 4637.25, 4821.75, 4860.0, 4888.75]"
2021-10-25,"[4183.75, 4226.25, 4228.0, 4252.25, 4254.75, 4256.5, 4266.0, 4277.25, 4283.0, 4297.5, 4345.75, 4375.25, 4380.0, 4450.75, 4482.25, 4495.5, 4515.25, 4543.25, 4574.5, 4578.25, 4598.0, 4600.75, 4615.25, 4642.75, 4655.75, 4725.25, 4748.75, 4750.5, 4752.75, 4758.0, 4803.5, 4849.75, 4853.75, 4865.25]","[4191.75, 4193.75, 4212.0, 4231.25, 4310.5, 4328.75, 4333.25, 4337.5, 4363.25, 4370.75, 4390.75, 4409.5, 4420.0, 4464.5, 4468.5, 4513.5, 4530.75, 4539.5, 4561.25, 4588.5, 4594.25, 4632.0, 4640.0, 4663.75, 4789.25, 4832.0]"
2021-10-26,"[4228.0, 4243.75, 4252.0, 4265.0, 4275.0, 4278.0, 4295.75, 4303.75, 4365.5, 4374.5, 4399.75, 4405.5, 4448.0, 4466.0, 4524.75, 4542.75, 4544.5, 4548.0, 4565.5, 4579.75, 4583.25, 4599.75, 4601.5, 4603.25, 4606.0, 4646.25, 4648.25, 4652.25, 4754.5, 4795.5, 4802.5, 4807.0, 4842.25]","[4211.75, 4221.5, 4224.25, 4231.25, 4269.0, 4290.5, 4330.5, 4333.0, 4336.0, 4339.5, 4362.0, 4387.5, 4413.5, 4431.25, 4471.5, 4486.25, 4494.0, 4512.5, 4530.25, 4571.5, 4594.25, 4661.5, 4671.25, 4709.25, 4732.25, 4759.0, 4764.0, 4810.25, 4858.75, 4860.5, 4870.5]"
2021-10-27,"[4283.25, 4295.0, 4297.0, 4342.5, 4379.0, 4395.0, 4401.75, 4418.25, 4442.5, 4445.25, 4478.25, 4542.5, 4549.75, 4581.25, 4600.0, 4605.0, 4625.0, 4653.75, 4667.0, 4754.75, 4802.0, 4816.75, 4852.5, 4856.25, 4875.5]","[4273.0, 4323.5, 4334.5, 4337.25, 4360.75, 4408.75, 4463.75, 4490.25, 4492.5, 4511.5, 4530.0, 4534.25, 4569.75, 4585.0, 4588.5, 4592.75, 4608.75, 4611.5, 4638.0, 4689.25, 4710.5, 4739.5, 4760.75, 4767.5, 4770.25, 4861.25, 4867.75]"
2021-10-28,"[4276.25, 4316.5, 4324.75, 4326.75, 4341.5, 4347.0, 4355.5, 4383.25, 4397.75, 4402.5, 4417.75, 4442.5, 4453.75, 4543.75, 4554.75, 4566.25, 4605.75, 4607.5, 4616.75, 4624.75, 4627.5, 4648.5, 4726.25, 4746.5, 4749.5, 4766.75, 4776.5, 4800.25]","[4263.0, 4268.5, 4270.0, 4290.25, 4294.5, 4333.0, 4359.5, 4422.75, 4461.5, 4485.0, 4491.0, 4510.5, 4529.75, 4563.5, 4590.25, 4593.75, 4610.25, 4614.0, 4618.5, 4659.25, 4669.75, 4672.5, 4737.75, 4808.5, 4823.25]"
2021-10-29,"[4283.25, 4328.25, 4346.0, 4351.75, 4358.25, 4427.25, 4465.0, 4542.25, 4550.25, 4553.25, 4565.75, 4595.5, 4599.0, 4615.75, 4656.75, 4665.0, 4678.0, 4701.75, 4742.5, 4753.75, 4782.5, 4815.0, 4845.75, 4880.5]","[4263.0, 4267.75, 4269.0, 4271.75, 4294.0, 4309.5, 4320.5, 4331.75, 4387.75, 4393.75, 4410.0, 4439.75, 4459.25, 4489.5, 4492.0, 4509.5, 4529.5, 4560.0, 4589.5, 4611.5, 4619.25, 4622.25, 4633.75, 4638.0, 4671.75, 4763.25, 4772.75, 4784.75, 4788.75, 4830.0, 4873.25]"
2021-11-01,"[4302.5, 4345.25, 4350.25, 4357.0, 4417.5, 4457.0, 4476.25, 4498.75, 4542.0, 4565.0, 4579.25, 4600.75, 4604.25, 4617.25, 4624.75, 4627.5, 4657.5, 4683.75, 4695.25, 4747.25, 4779.0, 4800.5, 4828.0, 4883.5]","[4293.25, 4314.25, 4331.75, 4389.75, 4392.25, 4432.0, 4435.75, 4437.0, 4488.0, 4508.5, 4529.25, 4537.0, 4562.75, 4586.5, 4589.5, 4611.25, 4621.0, 4660.0, 4669.5, 4671.0, 4688.75, 4733.75, 4761.0, 4788.75, 4793.25, 4821.25, 4836.5]"
